ID,SMILES,Total_Score,pKd,k_off,SA,MW,QED,LogP
mol_43,"NCC1CCCC(C2C(O)CC3=CCCC(Oc4c[nH]c(=O)[nH]4)CNCCCC2C3)C1",0.8638,6.680,0.4571,6.01,432.61,0.469,2.69
mol_44,"CC1C(F)=CC=CC1CC(O)C(O)F",0.8623,6.456,0.5913,4.91,204.22,0.734,1.70
mol_45,"NC(CC(C1CCCCC1)C1CCNNC1N)=NNCC1CC(F)CCN1",0.8618,6.505,0.5592,5.18,383.56,0.221,0.92
mol_46,"CCC1=C(C2NCC=C2O)CCCC1",0.8609,6.289,0.7170,3.99,193.29,0.661,2.68
mol_47,"CC1(O)CCCC2=C(C(N)C(=O)N2O)C1CCN",0.8602,6.397,0.6334,4.64,255.32,0.506,-0.30
mol_48,"COC1C(C)CC(C2N=CCC=CN2)C2C(O)C(O)CCC12",0.8594,6.522,0.5484,5.34,308.42,0.719,1.31
mol_49,"COC1CC(C)=CNC(C2CCCCC2)CNC2NN=CC3N=C4OCCC(=C4C32)C1",0.8580,6.601,0.5006,5.80,427.59,0.632,2.86
mol_50,"CCN(CO)CC(C)C1CCNNC1C1CCCCC1",0.8571,6.321,0.6906,4.31,283.46,0.652,1.96
mol_51,"OC1NC(C2CCCCC2)C2CC3NNCC3C3CCCC1C32",0.8556,6.468,0.5836,5.17,319.49,0.597,2.00
mol_52,"CC(O)C(N=C1CCN(C(C)O)C1)C1CCNC(Cl)C1",0.8552,6.457,0.5910,5.12,303.83,0.530,0.79
mol_53,"CC(CC1C(=O)C2CCN=C3N=C4CC5=C(ONC5)N4CN(C1=O)C32)CC1CCCC1O",0.8549,6.580,0.5129,5.78,441.53,0.635,1.20
mol_54,"ONCC1=C(CCN2CC(F)CCC2O)C2CCC(O)CC2NC1",0.8540,6.439,0.6032,5.06,343.44,0.370,0.54
mol_55,"COC1=CC(C2CCCCC2)=C(O)C(O)C1",0.8540,6.253,0.7471,3.52,224.30,0.758,2.67
mol_56,"CNCCC(=O)C1NC=NC1N",0.8536,6.350,0.6682,4.57,170.22,0.477,-1.55
mol_57,"Cc1ccccc1CNC(C)(O)CS",0.8530,6.248,0.7515,3.01,211.33,0.523,1.72
mol_58,"CC(=O)CCNCC1CN(C=O)C2=C1CCCC2C(O)O",0.8523,6.308,0.7012,4.37,296.37,0.350,0.01
mol_59,"O=C1NC2NNC(OCC3CCCCC3)C3=C2N1C1NC2N=C4OCCC4C2=CC1S3",0.8521,6.557,0.5265,5.75,444.56,0.488,1.33
mol_60,"CCC(C1=C(C)NNC(=O)N1)C(CO)N1CCCC1",0.8520,6.244,0.7547,4.01,268.36,0.586,0.52
mol_61,"CNCC(C)NC(CC1CCCCC1)C(O)C(N)O",0.8518,6.242,0.7565,3.96,273.42,0.407,0.16
mol_62,"OCC(=C1C=CNCC1)c1c#cc(O)c(C2=CCC=CC2)c1O",0.8515,6.384,0.6428,4.83,309.37,0.648,2.68
mol_63,"CCN(O)CN(CC)CC1CCCCC1",0.8511,6.239,0.7595,2.80,214.35,0.544,2.56
mol_64,"O=C(O)C1=CC(C(O)C2=CC(O)CCCC2)CCCC1",0.8507,6.252,0.7483,4.09,280.36,0.694,2.41
mol_65,"COCCC1NCCCN(CO)CC2NCNC(O)=C12",0.8505,6.378,0.6470,4.83,286.38,0.449,-1.07
mol_66,"CCCC(C=C=CN(C)C1CC=C2C(O)CCC2C(C2CNC3=C2C(C)C(N)=NCC3)C1)CO",0.8486,6.559,0.5255,5.86,468.69,0.340,3.34
mol_67,"ONC1CC(O)C(N2CCNC2)C2CNC(C3CCC(F)CC3)CC12",0.8485,6.408,0.6253,5.05,356.49,0.473,0.45
mol_68,"C=CC(C(O)=NO)C1CC(CCN)C2CCNC2C1N",0.8472,6.454,0.5929,5.35,282.39,0.165,0.42
mol_69,"CCCC1NCC(C(N)C(O)C(N)C2CCCN(CO)C2)S1",0.8463,6.412,0.6220,5.14,332.51,0.427,-0.51
mol_70,"CC(CS)CCO",0.8453,6.209,0.7858,3.34,120.22,0.531,0.93
mol_71,"COC1CCC2NC(O)OC3=CCNC3(C)C3CN=C(CN4CCCC4)C(O)C3COC(O)C2C1",0.8443,6.589,0.5076,6.14,494.63,0.362,-0.21
mol_72,"CCC=CC1CN2C3C1=NC(C(O)O)NC1=C3C3=C(NCCC3CC1)N2C1CCCCO1",0.8437,6.467,0.5843,5.52,441.58,0.389,1.56
mol_73,"COC1=CC(C2CCOC2CN)C(O)C=C1CO",0.8434,6.304,0.7049,4.61,255.31,0.647,-0.21
mol_74,"CCCC1NC2CCC3N=NC(C(C)NCC)=C3C2S1",0.8425,6.414,0.6209,5.27,294.47,0.819,3.07
mol_75,"NC1CNC2=C1C(=CBr)CCC2",0.8418,6.241,0.7575,4.29,229.12,0.662,1.63
mol_76,"CC(=O)C1NC(C)(C2CCCCC2)C2CC(C)C3CC(C)CC=C=C3C12C",0.8414,6.429,0.6100,5.39,369.59,0.635,5.68
mol_77,"CCC1=C2C=CNC2NCC1",0.8402,6.264,0.7378,4.48,150.22,0.585,1.13
mol_78,"C1CCC2C(C1)CN(CCN1CCOCC1)CC1CCNC12",0.8400,6.183,0.8102,3.78,307.48,0.853,1.42
mol_79,"N=C1CC(C2CCC(F)CC2)NC(N)N1",0.8396,6.272,0.7308,4.54,214.29,0.519,0.69
mol_80,"NC1CNC(NS(N)(O)C(O)N2CCSC2)C1=CC1CCOCC1",0.8392,6.403,0.6284,5.31,379.55,0.351,-0.47
mol_81,"CCNC1C2CCCCC2NC2CNC(NC3CCC4CCCCC4C3)CC21",0.8385,6.336,0.6790,4.95,388.64,0.596,3.38
mol_82,"CC(=O)NCC(CCO)OC1NN2C=CC3CNNC4C(O)CCC(O)C4C(N)=NCC1C32",0.8376,6.587,0.5090,6.33,467.57,0.203,-2.87
mol_83,"NC1NC(O)NC2C1CC(O)C1CCNCC12",0.8375,6.379,0.6466,5.22,242.32,0.286,-2.28
mol_84,"COOC(C)C(C1CCCCCC1)N(C)C(N)O",0.8345,6.190,0.8033,4.21,260.38,0.327,1.46
mol_85,"CN1CNC(C2=CNC3C(C(O)C(F)F)CCCC4CNC2C43)C1",0.8343,6.429,0.6105,5.59,342.43,0.596,0.33
mol_86,"NCC(CCO)CCC1CCNC1S",0.8342,6.241,0.7577,4.52,218.37,0.494,0.59
mol_87,"CC(C1CCNCC1)C1CCNC1=O",0.8337,6.151,0.8405,3.76,196.29,0.684,0.76
mol_88,"CC1CCCCC1(O)C1CCC(O)N2NCC(N)C12",0.8333,6.316,0.6949,4.99,269.39,0.546,0.17
mol_89,"CCCCCC(C)OC1CN(C(O)CN(C)C2CC=C3CCNC3C2)C(O)CN1",0.8327,6.353,0.6657,5.22,410.60,0.319,1.22
mol_90,"FC1CCC2CCNC3NCCC(C1)C23",0.8327,6.249,0.7508,4.61,212.31,0.638,1.67
mol_91,"NCC1CC(CS)=CO1",0.8320,6.250,0.7495,4.64,145.23,0.556,0.55
mol_92,"O=C(O)C1CCC(C2CCNC3NCCC32)O1",0.8312,6.238,0.7602,4.59,240.30,0.641,0.16
mol_93,"CC1=CCC(N2NCN=C2C2CC=CCC2)CC1",0.8311,6.228,0.7687,4.54,245.37,0.757,3.02
mol_94,"CNC=CC1CC1(CCC(O)O)OCCO",0.8310,6.278,0.7261,4.84,231.29,0.426,-0.42
mol_95,"O=C(C1CCCCC1)N1CCOC(C2CCCC2C2C(O)=NC(C(O)O)C3OC(O)CCCN32)C1O",0.8306,6.340,0.6762,5.20,511.62,0.335,0.30
mol_96,"CNNc1[nH]c(=N)n(C2=CNC3CCCCC23)c1C#N",0.8293,6.269,0.7333,4.84,273.34,0.522,0.67
mol_97,"CC1C(NCNCCC2=CCC(C3CCC(O)CC3)C2O)NN(C)C1C=O",0.8286,6.312,0.6984,5.10,380.53,0.179,0.35
mol_98,"CNC(=O)C1CCNC(C(O)C2CN=C3CNCC3(OC)C2)C1",0.8282,6.301,0.7073,5.05,324.43,0.527,-1.09
mol_99,"NC1NCCCC1C1C=CCNC1O",0.8274,6.271,0.7321,4.90,197.28,0.422,-0.64
mol_100,"CC(N)C(C1=NC2C(CC3CCCCC3)CCCC2N1)C(N)O",0.8266,6.243,0.7559,4.76,322.50,0.580,1.74
mol_101,"CCC1=C=C(N)C(O)(C(=O)C(C)O)NC(CCC(C)C(C)CP(O)O)C1O",0.8264,6.426,0.6127,5.81,404.44,0.210,0.08
mol_102,"CN(C1CCCC(CC(N)O)C1)C1CCNCC(O)CCC1O",0.8263,6.270,0.7329,4.93,329.49,0.466,0.01
mol_103,"CCCCNC1CNC2C(NC(Br)C(C)C2C(N)=O)C1CN",0.8260,6.299,0.7086,5.11,376.34,0.249,-0.28
mol_104,"CC1=NCCC(O)C(CC2CCCCC2)C1O",0.8260,6.113,0.8784,3.96,239.36,0.776,2.16
mol_105,"N=CCCC1CCC(O)(C2=C(C3CCNC(C4=CC(O)=C=CC4O)CC3)OCO2)CC1",0.8240,6.321,0.6910,5.29,430.55,0.327,3.21
mol_106,"CC(CCCCN)C1=C2OCNC2CC(I)C1O",0.8237,6.261,0.7403,4.95,366.24,0.392,1.52
mol_107,"CC(NC(O)NC1CCC2C(C1)C(O)CC(C1CCC3NCNC3C1)N1CC(O)CCC21)C1CC1",0.8237,6.359,0.6615,5.52,491.72,0.272,0.67
mol_108,"OC(NC(O)C1CCCC(Cl)C1)C1CCCCC1",0.8234,6.129,0.8616,4.18,275.82,0.546,2.59
mol_109,"CC(C)C(CO)NC(=O)N(C)C(CO)=NC1CC(C)C(N)C(CO)C1",0.8234,6.256,0.7448,4.93,358.48,0.331,-0.23
mol_110,"CC(C(=O)O)C1=NCNC=C1",0.8230,6.163,0.8293,4.39,154.17,0.598,0.22
mol_111,"NC1CNCNC1CC1=C(CO)N(CO)CCC1",0.8230,6.214,0.7820,4.70,256.35,0.421,-1.49
mol_112,"CCCCCC1OC(OC)NC1C(=O)N(C)C(C)C1C=CC(O)CCC1",0.8229,6.252,0.7486,4.92,368.52,0.509,2.42
mol_113,"CC1CCC(N2C=C3NCC=C3C(C3CCCCC3F)=C2)CC1",0.8226,6.147,0.8446,4.31,316.46,0.797,4.66
mol_114,"CC(O)CCC(O)C1NCC(C(N)O)C1NC(=N)NCCC1=CCC=CC1C",0.8225,6.349,0.6692,5.50,395.55,0.116,-0.23
mol_115,"CC(CCN)=C1N=CC2CNCC(NCC(O)O)C12",0.8221,6.259,0.7421,4.99,268.36,0.403,-1.20
mol_116,"NCN1C(O)C(C(N)O)CC1C1CCC(F)CC1",0.8219,6.209,0.7859,4.70,261.34,0.524,-0.28
mol_117,"NC(N)(O)NC1CCCCC1F",0.8217,6.093,0.8986,4.01,177.22,0.423,-0.62
mol_118,"COC1C(F)=CCC2=C=CC3(S(N)(N)O)C=CC=C3C21",0.8214,6.386,0.6410,5.74,296.37,0.683,2.23
mol_119,"CC=C1NCCC(C2CN=CC(C)C2C)N1C",0.8213,6.263,0.7389,5.04,235.38,0.754,2.11
mol_120,"OC1NC=C(I)CC2=C1N=CC2C(O)O",0.8213,6.336,0.6795,5.46,322.10,0.399,-0.16
mol_121,"OC1=C2NCCCC2=CC1",0.8212,6.089,0.9028,3.59,137.18,0.530,1.47
mol_122,"OC1CC(C2=C=C2)C2CCNC12",0.8195,6.290,0.7160,5.25,163.22,0.550,0.44
mol_123,"NC1NCNC2C1NCC1NCN(CCO)C12",0.8194,6.345,0.6722,5.57,242.33,0.297,-3.65
mol_124,"CC1CC(C2CC(F)C=CC2O)C(O)=N1",0.8192,6.286,0.7196,5.23,213.25,0.650,1.63
mol_125,"CCCCCCC=C=C1CCNCC1=CCC(O)NC",0.8192,6.115,0.8760,4.22,278.44,0.363,2.89
mol_126,"CCC1C(O)CN2CC(N)C3=NCCC3(C)C12",0.8190,6.279,0.7255,5.20,237.35,0.687,0.25
mol_127,"CCC(C)(C)C1CCCC(O)CO1",0.8190,6.078,0.9145,3.76,186.29,0.717,2.35
mol_128,"OC1CC2CNC=C2C(O)C2CCSC12",0.8189,6.295,0.7121,5.30,227.33,0.558,0.34
mol_129,"CCC(C)CC1CCN2CC2(O)C1N",0.8185,6.193,0.8004,4.71,198.31,0.659,0.77
mol_130,"CNCC(N)C(N)C1C2C3C(CCC3NC3C4=C(CN(C)CC4)NN31)CN2C(C)C1NC(O)CCO1",0.8182,6.445,0.5994,6.16,505.71,0.210,-2.31
mol_131,"OC1CC(F)=CC(CBr)C1O",0.8182,6.198,0.7962,4.75,225.06,0.653,0.98
mol_132,"NC(Cl)CC(O)C1NC(O)C2NC(O)C3C4CC(N)NCC4OCC3C12",0.8166,6.467,0.5838,6.34,391.90,0.185,-3.02
mol_133,"CC1CNC2CCC3CCC4CCC(C)C5C4C3=C2C1N5N",0.8166,6.253,0.7475,5.12,301.48,0.534,2.68
mol_134,"CC1CCC2CNC3=CCCC(N=N1)C32",0.8166,6.255,0.7458,5.13,205.30,0.648,2.50
mol_135,"CCCN1CC(C2CCCCC2O)C2=CNCCC21",0.8164,6.114,0.8773,4.29,264.41,0.819,2.13
mol_136,"CC1CCCNCCC=C2C(O)CCC(O)C2N1",0.8160,6.200,0.7948,4.82,254.37,0.477,0.55
mol_137,"OC1CCCC(N2COC3=C2CCCC3)C1O",0.8148,6.083,0.9086,4.16,239.31,0.725,1.34
mol_138,"CC1CCC(CC2=CNCN2)CC1C1=C(O)NCCC1",0.8135,6.183,0.8098,4.80,277.41,0.640,2.57
mol_139,"OC1CCC2C(CNC2NC2CC3CCCCC3C2)NC1",0.8132,6.159,0.8324,4.67,293.46,0.618,1.20
mol_140,"CNN(C(C)C)C1CCC2=C1C(O)CC(C)C2",0.8128,6.153,0.8381,4.64,238.37,0.584,2.08
mol_141,"CC1(N)CCC#CN1C(O)C1CCCNC1",0.8123,6.268,0.7345,5.34,223.32,0.578,0.04
mol_142,"CNC1NC(C)N(C2=CCCCC2)C1CN1CCNC1",0.8116,6.172,0.8200,4.79,279.43,0.698,0.47
mol_143,"CC1=CNC(=O)C1CC1CCCNC1C(O)C(C)CO",0.8113,6.199,0.7951,4.96,282.38,0.588,0.38
mol_144,"CN(C)CCCCC1=C(O)C(C(=O)NC2CCCCC2)CCCC1",0.8095,6.031,0.9649,3.10,336.52,0.686,4.17
mol_145,"CCC1OC2N=C3CCNC(C4CCCC(O)=C4N)N3C2O1",0.8089,6.258,0.7434,5.38,308.38,0.704,0.98
mol_146,"CC(O)CCC1=C2CNNC2CCC1",0.8089,6.104,0.8871,4.46,196.29,0.592,1.10
mol_147,"CCCCCCC(O)C1=CCC(C2CCCCC2)=C(NO)C1=O",0.8081,6.024,0.9728,3.50,321.46,0.466,4.03
mol_148,"C=C(CCC)CN(C(=O)C(O)CC(O)CCCO)C1CCN(C)C1O",0.8079,6.115,0.8763,4.56,358.48,0.390,0.08
mol_149,"CC1C2CCC(O)OCC3CCCCC3C2N2CC(O)CC12",0.8078,6.225,0.7718,5.22,309.45,0.718,1.99
mol_150,"OC1NC=NC2=CCC(Cl)=CC21",0.8072,6.233,0.7651,5.28,184.63,0.589,0.96
mol_151,"CC1CC(N)C(O)CC1Br",0.8061,6.088,0.9033,4.45,208.10,0.580,0.87
mol_152,"CCC(CCCC(N)=O)N(CCN=N)C(=O)CCC(C)C",0.8060,6.014,0.9843,3.49,298.43,0.541,2.72
mol_153,"CC1=C(C2CCCCC2)NC(O)C(C)C1N=C1C(O)CCCC1CO",0.8058,6.143,0.8480,4.79,350.50,0.629,2.36
mol_154,"CC(=O)N(C)C1NC(=O)C2NCOC(N3CCC(O)CC(O)N3)CC21",0.8058,6.256,0.7451,5.46,357.41,0.367,-2.52
mol_155,"CCNNCCCC1NCC=NC1NC(C)O",0.8058,6.179,0.8138,5.01,243.35,0.219,-0.82
mol_156,"CC1CCCN2C3=C(C(NCN)CCC3)C12",0.8057,6.056,0.9374,4.27,221.35,0.693,1.41
mol_157,"CCC(O)C1=CCC2C(=C3CCC(C)CC3)OC3=CCNC(N=N1)C32",0.8057,6.225,0.7721,5.28,343.47,0.795,4.04
mol_158,"C=C(CC)N=C1NCN(C(CCCC2=CCC(O)CCCCC(C)C2=O)NCO)C1=O",0.8054,6.239,0.7596,5.37,434.58,0.414,2.19
mol_159,"CC1CCCC2NNCC3=C4CCCCC4C1C32",0.8053,6.132,0.8594,4.73,246.40,0.642,3.02
mol_160,"NC1CCC2C(NC3CCC(O)CN32)C(=O)C1C(O)CO",0.8053,6.192,0.8019,5.10,299.37,0.391,-2.23
mol_161,"CC1CC1(C)CC1C(C#N)CCC1C(=O)O",0.8049,6.097,0.8942,4.54,221.30,0.797,2.67
mol_162,"NC1CN=C2CCCC(C3CCCCC3)C2N1",0.8048,6.047,0.9472,4.24,235.37,0.731,2.06
mol_163,"C=C=CC(C)C1NC=CC2NC3CCC(N)CCC3C21",0.8043,6.255,0.7453,5.50,273.42,0.674,1.92
mol_164,"OC(CCCCCNC1NC=NN1)C1CCCCC1",0.8042,6.005,0.9947,3.96,268.40,0.504,1.50
mol_165,"OC1NC=C2CCNC2=C1CC(F)(F)F",0.8041,6.065,0.9274,4.37,220.19,0.617,0.99
mol_166,"CC(CCO)C1CCCC(NC2CC2C)N1",0.8041,6.090,0.9013,4.52,226.36,0.665,1.47
mol_167,"CC1CNC2C(N3CCCCC3)=NN(C3CCC4C=CCCC4C3)C12",0.8038,6.134,0.8566,4.80,342.53,0.742,3.21
mol_168,"CCCCC(C(=N)O)N(CC1=NC2CCCNC2C2NCC(CN3CCCNC3)CC2O1)C(=O)CCO",0.8037,6.220,0.7759,5.31,521.71,0.170,0.44
mol_169,"CC(O)=C(NN(C)O)C1CCC(Br)C(O)C1",0.8034,6.117,0.8735,4.71,295.18,0.361,1.53
mol_170,"CC1=CC(C)C2C3C(N)CCCC3C3NCCC(C1)C32",0.8033,6.166,0.8264,5.00,274.45,0.667,2.94
mol_171,"CC(=O)C1NC2=C(C(CN)SC3=CSC[SH]3C2C)C1O",0.8031,6.360,0.6609,6.14,332.52,0.568,1.13
mol_172,"CCCC(C(C)F)C1CNN=CC1CO",0.8028,6.168,0.8246,5.02,216.30,0.732,1.57
mol_173,"CC(C)C1CCC(NCC2COC#CCC3=C2C(=C(N)O)NCN3C2CNNN2)CC1",0.8025,6.233,0.7648,5.42,431.59,0.247,0.53
mol_174,"N#CC1NCCCC1C(O)Cl",0.8023,6.088,0.9033,4.56,174.63,0.567,0.44
mol_175,"C1=C(C2CCNC2)C2=C(CC1)NCN2",0.8012,6.026,0.9701,4.22,191.28,0.570,0.68
mol_176,"CNC1CC(O)N(C2SNC(F)C2=O)C1=O",0.8008,6.185,0.8082,5.19,249.27,0.411,-1.43
mol_177,"CCC(C1CCC(Br)C(Cl)N1)C1CCC2CNCCC2N1C",0.8003,6.172,0.8207,5.13,392.81,0.570,3.17
mol_178,"C=CC(=C)C(O)C1CC(CC(C)O)CCC1=CC1CCCC=C1N",0.8002,6.192,0.8015,5.25,331.50,0.511,3.85
mol_179,"CCC1CCCCC1NC1NCOC2CCCC(C(CC(C)N)N(C)CC)C2N1",0.8001,6.184,0.8094,5.20,409.66,0.494,2.59
mol_180,"COC1CC2CC=CC=C=C2CC(O)(C2C=CC(C)C(C3CC4NOCC4O3)C2)C(C2C=NCCC2)C1",0.7998,6.383,0.6438,6.37,508.70,0.430,4.56
mol_181,"NC1CCC(C(=O)O)C2CCCNC12",0.7993,5.996,1.0052,3.99,198.27,0.561,0.18
mol_182,"CCC(C)NC(N)NC(=C=C(CN)C(O)CC)C=CCCC=O",0.7993,6.131,0.8596,4.91,324.47,0.120,0.88
mol_183,"C1=CNC2CNCCC2C1",0.7991,6.030,0.9663,4.30,138.21,0.508,0.47
mol_184,"COCCN1CC(CN)C2=C1CCC(=O)C2NC1CCCC(OC)C1",0.7991,6.051,0.9432,4.43,351.49,0.714,1.06
mol_185,"CC1OC(C(O)CNC2CC=NCC2)CC2CCNC(CCCCCCNC1=O)C2",0.7990,6.325,0.6881,6.06,422.61,0.554,1.78
mol_186,"N=C(OC1=CCNC1CC(O)O)C(=O)C(CC1CCCCC1)NC(O)CO",0.7990,6.101,0.8900,4.74,385.46,0.149,-0.65
mol_187,"CC1NC(N)C2NCCC2C1I",0.7989,6.203,0.7915,5.36,281.14,0.434,0.04
mol_188,"CC(O)C(O)NC1C(C)NC(=O)NC2CC=CCC21",0.7988,6.131,0.8604,4.92,269.35,0.358,-0.32
mol_189,"C#CNC1C(N)C(=O)NC2C(CC)C12",0.7985,6.205,0.7897,5.38,193.25,0.390,-0.98
mol_190,"NC1=NC(=O)C2=C(C3CC3)CC=CNCC12",0.7985,6.033,0.9630,4.34,217.27,0.680,0.71
mol_191,"CC1NCC=C1C(C)NN1CCCNC1O",0.7984,6.138,0.8534,4.98,226.32,0.483,-0.63
mol_192,"CC1CCC(C)C(CNCCS(O)(O)NCCC2NNC3C2CCCCN3C)C1C",0.7977,6.167,0.8255,5.17,445.72,0.304,3.07
mol_193,"CCN(CC)C1CCC(CNC(O)C(=O)C2C=C(Br)C(O)C(C)C2)C(C2CCCC(O)C2)C1",0.7965,6.170,0.8225,5.23,529.56,0.342,3.44
mol_194,"CC=C1CCN(C(O)C2CNCNC2=CC2=CCCCC2)C1",0.7965,6.096,0.8953,4.78,303.45,0.699,2.11
