ID,SMILES,MW,QED,LogP,pKd,Uncertainty,k_off,Residence_Time
gcdm_guided_17,CC(F)NC=CC1C(C)C(=O)C2C(C3C=C=CCCC3)CCC12.Cl,353.91,0.580,4.82,6.24,0.00,0.763,1.3
gcdm_guided_18,CC(O)CCC1C(NC2CCC(C3CCCCC3)C2)C12C(Cl)C2C1CCCCN1,423.09,0.514,4.85,6.23,0.00,0.766,1.3
gcdm_guided_19,CCCC.N=C1CCC(CO)C2(C#C2)C1O.O=CO,269.34,0.448,1.28,6.23,0.00,0.770,1.3
gcdm_guided_20,CCCC=CC1NC(CN)CCCCCCCCN2N=C12.Cl,328.93,0.777,3.42,6.22,0.00,0.776,1.3
gcdm_guided_21,CCC1NC2C(S1)C(CCNC)C(C)C2C(=O)NC(=O)NC1CCCCC1,396.60,0.554,2.45,6.21,0.00,0.785,1.3
gcdm_guided_22,C.CNC(C)C1CCC2OC3CC(O)C(N)C(C)CC3C2C1,312.50,0.731,2.15,6.20,0.00,0.798,1.3
gcdm_guided_23,N=C(COC1CCCCN1)C1NCn2c(NCN)cnc21,293.38,0.371,-0.05,6.19,0.00,0.800,1.2
gcdm_guided_24,C.C.CC(CC(CN)CC1=C(CO)C2CCCCC12)C(O)C1CCCCC1C.O,413.69,0.502,4.72,6.17,0.00,0.818,1.2
gcdm_guided_25,C.CC(C)C.CCCCC=C1CCN(CCC2CCCC(CC(F)F)C2)C1NC,416.69,0.309,7.50,6.17,0.00,0.821,1.2
gcdm_guided_26,CC(=O)CC(O)O.CCNCC(CC1CCCCC1)NCC(C)Cl,364.96,0.353,2.43,6.17,0.00,0.827,1.2
gcdm_guided_27,CCC(C)C=C=CC1CC(Cl)CC1C(O)O.CCC(C)CO,332.91,0.395,3.71,6.14,0.00,0.847,1.2
gcdm_guided_28,CC(N)C1CC1=C=C1NCCNC1O.CCC1C2CC(N)CCC2NCN1O,394.56,0.320,-0.21,6.14,0.00,0.852,1.2
gcdm_guided_29,CC.CCCC=CC(C)CC.CC[SH](O)O.Cl,288.93,0.442,5.79,6.14,0.00,0.853,1.2
gcdm_guided_30,CCC.CCC(C=N)CC(CC)NC(C)SCN=CC1CCCC(C)C1,383.69,0.305,6.77,6.14,0.00,0.856,1.2
gcdm_guided_31,C.C=C=CC(C=C)CN.CC1C=NCCC1OO,254.37,0.351,2.68,6.13,0.00,0.860,1.2
gcdm_guided_32,CCC(N)(O)O.OC1NC(=C=CC2CCCC2)C(C2CC2)N1,311.43,0.334,0.46,6.11,0.00,0.885,1.1
gcdm_guided_33,CC(O)C(O)O.CCCC(C)(C)C,192.30,0.581,1.51,6.10,0.00,0.886,1.1
gcdm_guided_34,CCCCC(C)C(OC)C1NC(S)C(OCC)O1.CCO,323.50,0.599,2.39,6.10,0.00,0.893,1.1
gcdm_guided_35,C1CCC(CCNC2CCO2)C1.C=CN=C(C)C(=O)C1CCCCC1,348.53,0.682,4.64,6.09,0.00,0.898,1.1
gcdm_guided_36,CC1CC(C2CNC3C(C4C=CCC(N)C4)NC(O)C(C)C23)C(O)OC1F,383.51,0.450,0.70,6.09,0.00,0.898,1.1
gcdm_guided_37,CC.CC1C=CCCC1.CCC1C(O)C(CO)NC(O)C1CCC1CCCC(C)C1,425.70,0.453,5.27,6.09,0.00,0.903,1.1
gcdm_guided_38,C1CCCCCC1.CCC1NCCC(C(C)O)CC2N=C(CCC3=C1C3)CC(N1CCCC1)C2C,485.80,0.347,6.67,6.09,0.00,0.903,1.1
gcdm_guided_39,CCC(CCCC1CNC(NC(O)O)CC1C)C(C)C.O,304.48,0.510,1.44,6.09,0.00,0.904,1.1
gcdm_guided_40,CCC(C=CC(=O)O)CC(F)C1CNC(=O)C2CCC(C(C)C)C2C1.N,370.51,0.590,3.98,6.09,0.00,0.905,1.1
gcdm_guided_41,CC(CC1=CC(CO)=CC2=C(O1)C(CCC1CCC3NNNC3C1)OO2)CC1CC1,417.55,0.452,3.12,6.08,0.00,0.909,1.1
gcdm_guided_42,CCCC1C(CC)C(OCC(O)O)C1CCSCC,290.47,0.480,2.90,6.08,0.00,0.910,1.1
gcdm_guided_43,CC(CCO)CC1C(C)CC(O)CC(CO)C1F.NOC(=O)C1CCCC=CN1,418.55,0.329,1.81,6.08,0.00,0.915,1.1
gcdm_guided_44,CC1NCC(C)(C)CC1C=CC1CC1.OCO,241.37,0.511,1.91,6.07,0.00,0.924,1.1
gcdm_guided_45,C.CC#CC1=C2ON(CO)CC(C3CCCCC3)C2CC1.CCC.N,352.56,0.663,5.28,6.06,0.00,0.930,1.1
gcdm_guided_46,CC1CCCCC1O.CCC1NC(=C=C2CCCC2)CC1CO,321.51,0.676,3.91,6.06,0.00,0.937,1.1
gcdm_guided_47,CC(CCC(=CF)C1CCCCC1O)CCC1CCCNC1.Cl,347.95,0.678,5.01,6.04,0.00,0.950,1.1
gcdm_guided_48,C=C=CC1CCC(O)SC1.CC.CC=C(CN)C1CCCNC1,340.58,0.541,3.71,6.04,0.00,0.950,1.1
gcdm_guided_49,C#CC=C1NCC(C)N1CC.CCC=CC1CCCCC1.CO,320.52,0.611,3.92,6.04,0.00,0.956,1.0
